customer_id,first_name,last_name,email,created_at,updated_at
d032f6ed-9b8a-4ce3-be4e-255b2168dd50,Michael,Weeks,michael.weeks22@example.com,2024-12-21T23:52:52.278740,2024-12-21T23:52:52.278740
17c0badd-8652-4226-91b1-76c7d0b4393b,Jennifer,Smith,jennifer.smith36@example.com,2025-08-26T01:02:25.596107,2025-08-26T01:02:25.596107
940f6578-3344-4692-8fae-7d41ddc047bb,Teresa,Barron,teresa.barron78@example.com,2025-08-24T00:27:47.433559,2025-08-24T00:27:47.433559
d5213c2e-5854-4b0b-b702-4ccb3c18969f,Krystal,Brady,krystal.brady50@example.com,2025-02-27T07:45:39.969924,2025-02-27T07:45:39.969924
0f5acf22-3eed-4b32-8ca7-bc41aa9681f3,John,Gardner,john.gardner41@example.com,2024-12-19T22:25:25.457434,2024-12-19T22:25:25.457434
67d2e925-796a-4a10-a401-e8bc51d9d64d,Garrett,Harris,garrett.harris48@example.com,2025-07-21T09:26:39.731770,2025-07-21T09:26:39.731770
f5396fec-4a54-4f26-a8dd-98dc0bbfe40e,Janet,Green,janet.green69@example.com,2025-06-21T00:18:44.399974,2025-06-21T00:18:44.399974
b7c16cbe-2944-41fe-91a8-07d1a246d96b,Michelle,Duarte,michelle.duarte16@example.com,2024-12-23T22:01:23.376039,2024-12-23T22:01:23.376039
31f09f52-0218-484c-bb58-e4c2ea466e29,Julie,Christian,julie.christian75@example.com,2025-06-22T13:09:10.901947,2025-06-22T13:09:10.901947
49174496-093c-4c7a-b825-d2f770d4119a,Heidi,Torres,heidi.torres56@example.com,2025-05-25T14:40:25.257892,2025-05-25T14:40:25.257892
bb7b9a18-0a16-4d3b-b822-fa8bb8f1e2e9,Megan,Campos,megan.campos37@example.com,2025-04-13T16:18:21.889762,2025-04-13T16:18:21.889762
b839a238-051f-4b07-a634-a834e7e042ed,Lindsay,Clay,lindsay.clay89@example.com,2025-04-14T08:10:35.060085,2025-04-14T08:10:35.060085
e2ab2963-de13-4b20-8698-3353ac23ed19,Tiffany,Harrell,tiffany.harrell72@example.com,2024-12-25T15:09:01.323496,2024-12-25T15:09:01.323496
ebf7027d-a841-41b1-91d8-851e2d862297,Jonathan,Flores,jonathan.flores65@example.com,2025-04-14T01:00:51.233636,2025-04-14T01:00:51.233636
0c9c8fdf-0369-4876-955f-87592202bd01,Shawna,Williams,shawna.williams68@example.com,2025-01-21T09:42:13.204257,2025-01-21T09:42:13.204257
dd8d1361-47be-4258-a801-1f690c98fb80,Kim,Griffin,kim.griffin80@example.com,2025-03-13T12:40:17.813590,2025-03-13T12:40:17.813590
88913f8b-8a74-48ca-bf57-61617a4a630c,Michael,Middleton,michael.middleton75@example.com,2025-07-07T21:22:10.130706,2025-07-07T21:22:10.130706
54a9effc-32fa-4540-a32f-382c6fa6533d,Kevin,Howell,kevin.howell11@example.com,2025-05-18T21:11:02.121115,2025-05-18T21:11:02.121115
e1e3ae5c-7b9a-474f-8a3c-4f8848479b70,Todd,Ryan,todd.ryan98@example.com,2025-06-08T01:24:16.388269,2025-06-08T01:24:16.388269
1322a9ff-0514-49e4-b400-bc69bf5a558c,Stephanie,Wilson,stephanie.wilson51@example.com,2025-07-11T19:09:45.438523,2025-07-11T19:09:45.438523
0bb16dc4-8e39-4c66-9fe0-fb2384930794,Nicole,Meyers,nicole.meyers46@example.com,2025-07-30T03:51:18.536514,2025-07-30T03:51:18.536514
0e98f1be-f3b4-407f-996f-658274b76ef2,Dominique,Franklin,dominique.franklin69@example.com,2025-01-26T09:06:48.415116,2025-01-26T09:06:48.415116
4d17fc37-3cca-4e38-b924-4e5cebddf05d,Brittany,Porter,brittany.porter67@example.com,2025-03-19T09:32:58.887414,2025-03-19T09:32:58.887414
90aa4f9a-61aa-4269-a738-a73a2f1adc78,Megan,Scott,megan.scott92@example.com,2025-07-24T11:09:34.040673,2025-07-24T11:09:34.040673
f16750e9-9746-4446-bcc1-6a8ed8013323,Daniel,Griffith,daniel.griffith99@example.com,2024-12-26T06:58:33.400532,2024-12-26T06:58:33.400532
64f0d41b-f397-4577-9787-8dfa631159d6,Joseph,Washington,joseph.washington38@example.com,2025-02-22T04:31:36.884406,2025-02-22T04:31:36.884406
88c242d1-8e2e-4874-b588-80af75f2cfdf,George,Dickson,george.dickson20@example.com,2025-05-05T08:07:44.897171,2025-05-05T08:07:44.897171
f6258da5-759a-471a-8896-f08a1812673a,Cory,Brown,cory.brown53@example.com,2025-01-27T01:58:21.442052,2025-01-27T01:58:21.442052
ce016bbe-1d6d-470a-a7eb-dc0febc66b0a,Bonnie,Brown,bonnie.brown16@example.com,2024-11-07T06:21:17.990446,2024-11-07T06:21:17.990446
368f5686-a455-43d8-959a-8a5ef21cc4c8,Patricia,Mclean,patricia.mclean75@example.com,2025-06-12T19:56:13.066101,2025-06-12T19:56:13.066101
03113851-19a4-40f8-964a-8450b031280e,Tamara,Allen,tamara.allen80@example.com,2025-05-29T22:49:23.168520,2025-05-29T22:49:23.168520
fb46c96c-18aa-4413-afd1-84f530823051,Kimberly,Gutierrez,kimberly.gutierrez15@example.com,2025-02-12T10:25:21.433666,2025-02-12T10:25:21.433666
55659cc1-6c7b-4632-baa5-34259d1a768d,Holly,Waters,holly.waters86@example.com,2024-09-26T11:33:34.338311,2024-09-26T11:33:34.338311
4f836d05-c4d3-42ae-973c-a40845914075,Adam,Hill,adam.hill40@example.com,2025-02-15T13:23:02.575015,2025-02-15T13:23:02.575015
670e91b0-a867-4b4c-b1bc-e2ab57730113,Nancy,Porter,nancy.porter19@example.com,2025-05-31T13:33:59.203529,2025-05-31T13:33:59.203529
2f674f7a-2113-45c0-b1cc-7d3805ee02b0,Lisa,Briggs,lisa.briggs77@example.com,2025-07-13T07:23:43.709440,2025-07-13T07:23:43.709440
d62e00f5-a4a6-46eb-bb39-9a60495787c3,Emily,Lopez,emily.lopez78@example.com,2025-01-28T23:09:20.824137,2025-01-28T23:09:20.824137
706eadcf-d17a-4908-addb-0183bb2323b2,Carmen,Garcia,carmen.garcia97@example.com,2025-03-13T07:34:56.587011,2025-03-13T07:34:56.587011
ff2e0e91-b752-4356-8c82-cf64351324ab,Michael,Fox,michael.fox10@example.com,2025-03-04T12:38:23.877415,2025-03-04T12:38:23.877415
0505ae20-9dad-4ac7-a52d-b9b7929996a5,Austin,Greene,austin.greene29@example.com,2025-04-01T04:49:42.492113,2025-04-01T04:49:42.492113
d6cb507c-261c-48a8-b125-c4cbf0f5185d,Samantha,Sanders,samantha.sanders51@example.com,2025-03-02T12:15:38.568532,2025-03-02T12:15:38.568532
26d64a1f-1a4e-4f6e-8dc9-2691a5c25d02,Elizabeth,Hoover,elizabeth.hoover48@example.com,2025-09-10T07:33:36.255740,2025-09-10T07:33:36.255740
3f7d6046-73de-4a63-b7cf-f269bb1570c8,Shannon,Andrade,shannon.andrade51@example.com,2024-12-07T03:05:26.589580,2024-12-07T03:05:26.589580
ec350dbd-0cc4-4cd8-aad9-70039b1c6274,Hannah,Wilcox,hannah.wilcox96@example.com,2025-03-20T04:01:03.300984,2025-03-20T04:01:03.300984
6ac8b463-44e2-4473-b7d0-e47a9bdb7613,Jeremy,Sanchez,jeremy.sanchez39@example.com,2025-09-08T12:50:55.088705,2025-09-08T12:50:55.088705
1bf7a504-8e04-464f-9af1-06ce1001c25a,Terri,Brown,terri.brown95@example.com,2025-01-29T08:43:13.073847,2025-01-29T08:43:13.073847
424ec8f2-fdda-4537-9b79-7acfcda707a8,Melissa,Anderson,melissa.anderson17@example.com,2025-06-05T13:17:25.217763,2025-06-05T13:17:25.217763
9d294e66-b6ed-43ca-a0e1-e507d1bcc13c,Cheryl,Jimenez,cheryl.jimenez98@example.com,2025-07-02T12:39:19.305619,2025-07-02T12:39:19.305619
17702c4a-781a-47a8-a997-3df4107c7172,Brandon,Cole,brandon.cole67@example.com,2024-12-27T23:00:55.553639,2024-12-27T23:00:55.553639
